name,sex,total
תבל,F,1098
נאיל,M,1097
מרטין,M,1097
אושרה,F,1096
ארטיום,M,1096
אילול,F,1093
פאדיה,F,1092
נגאח,F,1091
אליזבטה,F,1089
צח,M,1088
לינה,F,1086
ריתאג',F,1083
אורין,M,1082
סבא,F,1076
ברטה,F,1073
ג'ולי,F,1072
נג'אח,F,1066
לארין,F,1066
סוהייב,M,1066
תאיר,M,1066
עווד,M,1063
מעוז,M,1057
הלאל,M,1053
רנים,F,1048
לובוב,F,1046
ענבר,M,1046
רוקיה,F,1045
נדז'דה,F,1045
ארד,M,1040
נרימאן,F,1039
ימאן,M,1038
באסמה,F,1037
זוהרה,F,1033
פאוזי,M,1032
תימאא,F,1029
אנעאם,F,1028
סיני,M,1027
יליזבטה,F,1027
רביד,F,1026
מנסור,M,1025
ג'ואן,F,1023
סוהאד,F,1022
עאטף,F,1021
קרולין,F,1020
דורי,M,1018
חמאדה,F,1018
אינסה,F,1014
סוהילה,F,1013
מוריאל,F,1012
אדי,M,1011
שימרית,F,1010
ציפי,F,1009
גוני,F,1008
אבירן,M,1008
חתאם,F,1006
סלין,F,1006
אליסף,M,1002
מייסם,F,1000
פסיה,F,1000
מונירה,F,995
קרני,F,993
ועד,F,992
עודה,M,991
ברברה,F,991
סמיה,F,989
אפנאן,F,987
מהראן,M,986
רשיד,M,985
בלהה,F,984
אסי,M,984
מרום,M,983
איתיאל,M,981
ליסה,F,981
רפיק,M,979
הייא,F,979
בתאל,F,978
עמרו,M,973
שיר,M,972
רואיה,F,971
אפק,M,970
לטיפה,F,967
אילונה,F,963
תלין,F,963
גאורגי,M,962
מירון,M,961
פאני,F,955
עמירם,M,954
אסאלה,F,953
ג'ניפר,F,953
עדית,F,951
זקלין,F,949
סמיחה,F,948
סוהיל,M,948
פרלה,F,947
טופז,F,946
גנדי,M,945
ליעם,M,944
ריבה,F,943
גינא,F,943
טלאל,M,942
קטרין,F,942
מארי,F,941
סעד,M,941
זיידאן,M,940
אניטה,F,937
נאילה,F,935
ג'רמי,M,934
גאזי,M,933
כרמי,M,933
אליאנה,F,931
שיה,F,928
גילי,M,925
מריאן,F,924
כאיד,M,924
חאזם,M,924
אומימה,F,922
חור,F,921
ראיה,F,919
סבינה,F,918
סבחה,F,914
צדוק,M,912
רוזאן,F,911
לונא,F,910
אלרועי,M,906
דיאב,M,905
ניקיטה,M,904
תחריר,F,901
שרבל,M,901
מופיד,M,901
סטפן,M,898
לידור,F,895
גיטה,F,895
רחאב,F,895
עפיף,M,894
קיריל,M,894
אירנה,F,894
צוריאל,M,890
ג'אבר,M,889
אלנתן,M,889
לי,M,888
חוסני,M,885
מינא,F,882
אחלאס,F,882
פטריסיה,F,880
פייסל,M,879
אדריאן,M,878
קאי,M,877
חושן,F,875
זלמן,M,874
נוריאל,M,873
עידן,F,872
מיסא,F,869
גילת,F,868
ליאלי,F,865
תאליה,F,865
לונה,F,864
סוזנה,F,864
קרול,F,863
ח'דיג'ה,F,861
פאר,M,861
ג'וליאן,M,861
נהלה,F,860
אילאף,F,859
ראנה,F,856
סאמח,M,856
אמלי,F,853
ויאם,M,852
חרות,F,852
פרומה,F,851
דילן,M,850
איזבל,F,847
פטריק,M,847
ניל,F,847
עוזיאל,M,846
תאליא,F,843
פלג,F,843
אני,F,842
פלורה,F,841
כנאן,M,841
סלסביל,F,841
אליאל,M,836
רואד,M,833
קינאן,M,832
בראל,M,831
אלומה,F,829
ראויה,F,826
נאדרה,F,826
תומר,F,825
חולוד,F,823
ורדית,F,821
